Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Ryan Fitzpatrick\FitzRy00,TAM,QB,36,2,2,48,61,819,8,1,13,35,2.69,1,0,0,0,,0,,,72,72,76.3,73.3,33,1,1
2,Tyreek Hill\HillTy00,KAN,WR,24,2,2,0,0,0,0,0,2,4,2.00,0,14,12,259,21.58,3,,,50,62,65.3,56.3,32,1,2
3,Todd Gurley\GurlTo01,LAR,RB,24,2,2,0,0,0,0,0,39,150,3.85,3,8,6,70,11.67,1,2,,50,56,59.0,53.0,30,1,3
4,Patrick Mahomes\MahoPa00,KAN,QB,23,2,2,38,55,582,10,0,10,39,3.90,0,0,0,0,,0,,,67,67,70.2,67.2,28,2,4
5,DeSean Jackson\JackDe00,TAM,WR,32,2,2,0,0,0,0,0,0,0,,0,9,9,275,30.56,3,,,46,55,57.5,50.0,27,2,5
6,Alvin Kamara\KamaAl00,NOR,RB,23,2,2,0,0,0,0,0,21,75,3.57,2,18,15,165,11.00,1,2,,46,61,64.0,53.5,26,2,6
7,Carlos Hyde\HydeCa00,CLE,RB,28,3,2,0,0,0,0,0,61,203,3.33,4,6,4,15,3.75,0,,,46,50,52.8,47.8,26,3,7
8,James Conner\ConnJa00,PIT,RB,23,2,2,0,0,0,0,0,39,152,3.90,3,11,10,105,10.50,0,1,,44,54,60.7,48.7,24,4,8
9,Isaiah Crowell\CrowIs00,NYJ,RB,25,3,0,0,0,0,0,0,38,171,4.50,4,6,4,21,5.25,0,,,43,47,50.2,45.2,24,6,9
10,Melvin Gordon\GordMe00,LAC,RB,25,2,2,0,0,0,0,0,24,92,3.83,1,20,15,140,9.33,2,1,,43,58,61.2,50.7,24,5,10
11,Michael Thomas\ThomMi05,NOR,WR,25,2,2,0,0,0,0,0,0,0,,0,30,28,269,9.61,3,,,41,69,73.9,54.9,22,3,11
12,A.J. Green\GreeA.00,CIN,WR,30,2,2,0,0,0,0,0,0,0,,0,17,11,161,14.64,4,,,38,49,53.1,43.6,19,4,12
13,Stefon Diggs\DiggSt00,MIN,WR,25,2,2,0,0,0,0,0,2,9,4.50,0,19,12,171,14.25,3,1,,38,50,53.0,44.0,19,5,13
14,Kirk Cousins\CousKi00,MIN,QB,30,2,2,55,84,669,6,1,6,31,5.17,0,0,0,0,,0,,1,54,54,57.9,54.9,14,3,14
15,Mike Evans\EvanMi00,TAM,WR,25,2,2,0,0,0,0,0,0,0,,0,19,17,230,13.53,2,,,33,50,54.0,41.5,14,6,15
16,Will Dissly\DissWi00,SEA,TE,22,2,2,0,0,0,0,0,0,0,,0,10,6,147,24.50,2,,,27,33,35.7,29.7,13,1,16
17,Philip Rivers\RivePh00,LAC,QB,37,2,2,57,78,680,6,1,3,5,1.67,0,0,0,0,,0,,1,52,52,55.7,52.7,12,4,17
18,Jesse James\JameJe00,PIT,TE,24,2,2,0,0,0,0,0,0,0,,0,10,8,198,24.75,1,,,26,34,36.8,29.8,12,2,18
19,JuJu Smith-Schuster\SmitJu00,PIT,WR,22,2,1,0,0,0,0,0,0,0,,0,27,18,240,13.33,1,,,30,48,51.0,39.0,11,7,19
20,Jarvis Landry\LandJa00,CLE,WR,26,3,2,0,0,0,0,0,0,0,,0,37,20,278,13.90,0,,1,30,50,52.8,39.8,11,8,20
